"โรงพยาบาล","จำนวนผู้สูงอายุ","ไตรมาส 1-2ต.ค.ถึง มี.ค.","ไตรมาส 3-4เม.ย.ถึง ก.ย."
"จำนวนคัดกรอง(B)","ติดสังคม(ADL 12-20)(A)","ร้อยละ","ติดบ้าน(ADL 5-11)","ติดเตียง(ADL 0-4)","จำนวนคัดกรอง(B)","ติดสังคม(ADL 12-20)(A)","ร้อยละ","ติดบ้าน(ADL 5-11)","ติดเตียง(ADL 0-4)"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11471  :  โรงพยาบาลสงฆ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11472  :  โรงพยาบาลราชวิถี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11537  :  โรงพยาบาลกลาง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00","0","0","0","0","0.00","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0.00","0","0","0","0","0.00","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00","0","0","0","0","0.00","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00","0","0","0","0","0.00","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00","0","0","0","0","0.00","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","121","0","0","0.00","0","0","0","0","0.00","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10753  :  โรงพยาบาลบางพลี","2,390","0","0","0.00","0","0","0","0","0.00","0","0"
"10754  :  โรงพยาบาลบางจาก","1","0","0","0.00","0","0","0","0","0.00","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,093","0","0","0.00","0","0","0","0","0.00","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,464","0","0","0.00","0","0","0","0","0.00","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","38","0","0","0.00","0","0","0","0","0.00","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","2,037","0","0","0.00","0","0","0","0","0.00","0","0"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10756  :  โรงพยาบาลบางกรวย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10759  :  โรงพยาบาลไทรน้อย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10761  :  โรงพยาบาลคลองหลวง","637","0","0","0.00","0","0","0","0","0.00","0","0"
"10762  :  โรงพยาบาลธัญบุรี","2,248","0","0","0.00","0","0","0","0","0.00","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,543","0","0","0.00","0","0","0","0","0.00","0","0"
"10764  :  โรงพยาบาลหนองเสือ","792","0","0","0.00","0","0","0","0","0.00","0","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","827","0","0","0.00","0","0","0","0","0.00","0","0"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10767  :  โรงพยาบาลสามโคก","710","0","0","0.00","0","0","0","0","0.00","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10768  :  โรงพยาบาลท่าเรือ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10770  :  โรงพยาบาลบางไทร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10771  :  โรงพยาบาลบางบาล","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10772  :  โรงพยาบาลบางปะอิน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10774  :  โรงพยาบาลผักไห่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10775  :  โรงพยาบาลภาชี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10777  :  โรงพยาบาลวังน้อย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10779  :  โรงพยาบาลอุทัย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10780  :  โรงพยาบาลมหาราช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10689  :  โรงพยาบาลอ่างทอง","334","0","0","0.00","0","0","0","0","0.00","0","0"
"10782  :  โรงพยาบาลไชโย","472","0","0","0.00","0","0","0","0","0.00","0","0"
"10784  :  โรงพยาบาลป่าโมก","682","0","0","0.00","0","0","0","0","0.00","0","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","594","0","0","0.00","0","0","0","0","0.00","0","0"
"10786  :  โรงพยาบาลแสวงหา","1,159","0","0","0.00","0","0","0","0","0.00","0","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,470","0","0","0.00","0","0","0","0","0.00","0","0"
"10788  :  โรงพยาบาลสามโก้","370","0","0","0.00","0","0","0","0","0.00","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","1,837","0","0","0.00","0","0","0","0","0.00","0","0"
"10693  :  โรงพยาบาลอินทร์บุรี","487","0","0","0.00","0","0","0","0","0.00","0","0"
"10798  :  โรงพยาบาลบางระจัน","828","0","0","0.00","0","0","0","0","0.00","0","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","927","0","0","0.00","0","0","0","0","0.00","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","866","0","0","0.00","0","0","0","0","0.00","0","0"
"10801  :  โรงพยาบาลท่าช้าง","682","0","0","0.00","0","0","0","0","0.00","0","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","11","0","0","0.00","0","0","0","0","0.00","0","0"
"10802  :  โรงพยาบาลมโนรมย์","767","0","0","0.00","0","0","0","0","0.00","0","0"
"10803  :  โรงพยาบาลวัดสิงห์","1,243","0","0","0.00","0","0","0","0","0.00","0","0"
"10804  :  โรงพยาบาลสรรพยา","472","0","0","0.00","0","0","0","0","0.00","0","0"
"10805  :  โรงพยาบาลสรรคบุรี","1,380","0","0","0.00","0","0","0","0","0.00","0","0"
"10806  :  โรงพยาบาลหันคา","1,376","0","0","0.00","0","0","0","0","0.00","0","0"
"27974  :  โรงพยาบาลหนองมะโมง","269","0","0","0.00","0","0","0","0","0.00","0","0"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10807  :  โรงพยาบาลแก่งคอย","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10808  :  โรงพยาบาลหนองแค","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10810  :  โรงพยาบาลหนองแซง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10813  :  โรงพยาบาลหนองโดน","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0","0.00","0","0","0","0","0.00","0","0"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10817  :  โรงพยาบาลบ้านบึง","2,843","0","0","0.00","0","0","0","0","0.00","0","0"
"10818  :  โรงพยาบาลหนองใหญ่","655","0","0","0.00","0","0","0","0","0.00","0","0"
"10819  :  โรงพยาบาลบางละมุง","3,261","0","0","0.00","0","0","0","0","0.00","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","365","0","0","0.00","0","0","0","0","0.00","0","0"
"10821  :  โรงพยาบาลพานทอง","1,070","0","0","0.00","0","0","0","0","0.00","0","0"
"10822  :  โรงพยาบาลพนัสนิคม","2,312","0","0","0.00","0","0","0","0","0.00","0","0"
"10823  :  โรงพยาบาลแหลมฉบัง","5,301","0","0","0.00","0","0","0","0","0.00","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","390","0","0","0.00","0","0","0","0","0.00","0","0"
"10825  :  โรงพยาบาลสัตหีบกม10","3,509","0","0","0.00","0","0","0","0","0.00","0","0"
"10826  :  โรงพยาบาลบ่อทอง","603","0","0","0.00","0","0","0","0","0.00","0","0"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","256","0","0","0.00","0","0","0","0","0.00","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1,216","0","0","0.00","0","0","0","0","0.00","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00","0","0","0","0","0.00","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","39","0","0","0.00","0","0","0","0","0.00","0","0"
"28005  :  โรงพยาบาลเมืองพัทยา","1,057","0","0","0.00","0","0","0","0","0.00","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","415","0","0","0.00","0","0","0","0","0.00","0","0"
"10663  :  โรงพยาบาลระยอง","0","0","0","0.00","0","0","0","0","0.00","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","392","0","0","0.00","0","0","0","0","0.00","0","0"
"10828  :  โรงพยาบาลบ้านฉาง","3,152","0","0","0.00","0","0","0","0","0.00","0","0"
"10829  :  โรงพยาบาลแกลง","608","0","0","0.00","0","0","0","0","0.00","0","0"
"10830  :  โรงพยาบาลวังจันทร์","623","0","0","0.00","0","0","0","0","0.00","0","0"
"10831  :  โรงพยาบาลบ้านค่าย","1,050","0","0","0.00","0","0","0","0","0.00","0","0"
